  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(18_16)Mean,    d(D_H)Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,Timestamp Mean,   d(18_16)_SD,     d(D_H)_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,baseline_shift,   slope_shift,     residuals,baseline_curvature,      interval,       ch4_ppm,  h16od_adjust,   h16od_shift,n2_flag,      DAS Temp,      Tray,  Sample,     Job,    Method,Error Code
    40,   P-13466,   2020/11/07 14:43:57,           1-04,      10,       -16.992,       -93.993,         18856,       0,    1,                                     TAP,                                Standard,                 H2O, 1604756942.18,         0.421,         1.118,       146.683,         0.007,         0.019,         3.493,        78.465,        14.206,         2.142,        86.182,         0.733,         1.236,        0.0000,        0.0000,    0,        40.250,         1,       4,       1,Picarro pre rinse,       0
    41,   P-13467,   2020/11/07 14:53:06,           1-05,       1,       -23.579,      -139.685,         18575,      -1,    1,                                    HUSN,                            Control HUSN,                 H2O, 1604757491.66,         0.271,         1.063,       136.522,         0.003,         0.015,         3.240,        77.332,        14.533,         2.012,        82.696,         0.733,         0.918,       -0.0000,       -0.0000,    0,        40.250,         1,       5,       2,Picarro pre rinse,       0
    42,   P-13467,   2020/11/07 15:02:15,           1-05,       2,       -24.358,      -148.271,         19094,      -1,    1,                                    HUSN,                            Control HUSN,                 H2O, 1604758040.58,         0.263,         0.842,       133.698,         0.002,         0.012,         3.172,        79.584,        14.742,         2.158,        86.418,         0.733,         1.241,        0.0000,        0.0000,    0,        40.250,         1,       5,       2,Picarro pre rinse,       0
    43,   P-13467,   2020/11/07 15:11:24,           1-05,       3,       -24.582,      -150.828,         18898,      -1,    1,                                    HUSN,                            Control HUSN,                 H2O, 1604758588.96,         0.260,         0.874,       133.927,         0.002,         0.012,         3.177,        78.624,        14.281,         2.194,        86.920,         0.733,         1.421,       -0.0000,       -0.0000,    0,        40.250,         1,       5,       2,Picarro pre rinse,       0
    44,   P-13467,   2020/11/07 15:20:33,           1-05,       4,       -24.538,      -151.161,         18964,       0,    1,                                    HUSN,                            Control HUSN,                 H2O, 1604759138.44,         0.270,         0.779,       132.261,         0.001,         0.004,         3.154,        79.006,        14.423,         2.141,        86.459,         0.733,         1.276,       -0.0000,       -0.0000,    0,        40.250,         1,       5,       2,Picarro pre rinse,       0
    45,   P-13468,   2020/11/07 15:29:43,           1-06,       1,       -18.834,      -113.591,         16855,      -1,    1,                                27072020,                                      KK,                 H2O, 1604759688.10,         0.258,         0.844,       127.256,        -0.001,        -0.001,         3.050,        69.627,        12.410,         1.878,        76.263,         0.733,         0.885,       -0.0000,       -0.0000,    0,        40.250,         1,       6,       2,Picarro pre rinse,       0
    46,   P-13468,   2020/11/07 15:38:51,           1-06,       2,       -18.194,      -105.515,         17345,      -1,    1,                                27072020,                                      KK,                 H2O, 1604760236.85,         0.260,         0.834,       127.940,         0.001,         0.003,         3.082,        71.536,        13.418,         1.944,        78.748,         0.733,         1.122,       -0.0000,       -0.0000,    0,        40.250,         1,       6,       2,Picarro pre rinse,       0
    47,   P-13468,   2020/11/07 15:48:00,           1-06,       3,       -17.989,      -103.351,         20848,      -1,    1,                                27072020,                                      KK,                 H2O, 1604760785.56,         0.271,         0.856,       127.173,         0.000,         0.003,         3.000,        87.936,        16.041,         2.308,        93.734,         0.733,         1.022,        0.0000,        0.0000,    0,        40.188,         1,       6,       2,Picarro pre rinse,       0
    48,   P-13468,   2020/11/07 15:57:10,           1-06,       4,       -17.797,      -101.727,         19421,       0,    1,                                27072020,                                      KK,                 H2O, 1604761335.08,         0.248,         0.744,       127.432,         0.000,         0.001,         3.039,        81.191,        14.719,         2.205,        88.368,         0.733,         1.260,       -0.0000,       -0.0000,    0,        40.125,         1,       6,       2,Picarro pre rinse,       0
    49,   P-13469,   2020/11/07 16:06:19,           1-07,       1,       -17.887,      -102.098,         17032,      -1,    1,                                28072020,                                      KK,                 H2O, 1604761884.95,         0.244,         0.888,       126.389,         0.002,         0.009,         3.045,        70.220,        12.739,         1.958,        77.552,         0.733,         1.051,       -0.0000,       -0.0000,    0,        40.125,         1,       7,       2,Picarro pre rinse,       0
