;Identifier 1;d18O counts;d18O vsmow;d18O stdev. vsmow;d2H counts;d2H vsmow;d2H stdev. vsmow;RUN_ID;NickName
60;EE-62;4;-12.385.298.868.352.700;0.0536032659693995;4;-8.682.528.676.496.100;0.28698857075783063;20191210;2019 12 10 TR Eisgruben Run 04
61;EE-63;4;-14.355.433.748.890.300;0.2651998874189401;3;-10.112.797.139.870.800;0.6588157271214229;20191210;2019 12 10 TR Eisgruben Run 04
62;EE-65;3;-12.063.375.014.848.500;0.05662341583072515;3;-8.415.844.274.529.820;0.31985355157533185;20191210;2019 12 10 TR Eisgruben Run 04
79;EE-66;3;-12.422.680.826.284.700;0.06502115547051898;3;-8.567.661.227.819.240;0.6312738537818718;20191212;2019 12 12 TR Eisgruben Run05 FullRerun
80;EE-67;3;-11.480.419.040.660.700;0.053610448590024194;3;-805.973.354.362.625;0.4081589185790197;20191212;2019 12 12 TR Eisgruben Run05 FullRerun
81;EE-68;3;-1.184.785.258.656.230;0.0302494942266709;3;-831.363.475.544.145;0.21194585418625522;20191212;2019 12 12 TR Eisgruben Run05 FullRerun
66;EE-69;4;-12.191.965.841.644.100;0.08354225527170402;4;-845.234.163.339.122;0.2806617934817596;20191211;2019 12 11 TR Eisgruben Run05+reruns
82;EE-70;3;-13.798.845.500.157.500;0.06262507353056544;3;-9.828.873.726.582.730;0.4503928762280846;20191212;2019 12 12 TR Eisgruben Run05 FullRerun
83;EE-71;3;-12.313.304.527.104.400;0.06475953821864093;3;-8.662.360.617.333.850;0.4190142999884419;20191212;2019 12 12 TR Eisgruben Run05 FullRerun
84;EE-72;3;-12.539.649.520.300.200;0.06989526524728484;3;-8.704.707.891.261.650;0.10001691230117046;20191212;2019 12 12 TR Eisgruben Run05 FullRerun
85;EE-74;4;-11.877.896.755.235.100;0.03908492669877268;4;-8.445.831.684.099.050;0.29520379342353475;20191212;2019 12 12 TR Eisgruben Run05 FullRerun
86;EE-75;3;-8.918.787.390.102.480;0.039359474221013206;4;-6.033.796.397.816.730;0.5373913426964848;20191212;2019 12 12 TR Eisgruben Run05 FullRerun
87;EE-76;3;-11.610.083.525.437.700;0.07895215908313953;3;-8.048.079.535.906.980;0.6010579578141182;20191212;2019 12 12 TR Eisgruben Run05 FullRerun
88;EE-77;3;-10.339.085.152.433.500;0.0926456296469362;3;-6.925.900.283.103.030;0.5253264037003044;20191212;2019 12 12 TR Eisgruben Run05 FullRerun
89;EE-78;3;-980.759.622.654.866;0.08110566603430777;3;-687.627.424.115.884;0.13219838956300822;20191212;2019 12 12 TR Eisgruben Run05 FullRerun
90;EE-79;3;-12.738.916.054.523.400;0.09612878296667166;3;-9.215.656.179.977.890;0.5847171325983875;20191212;2019 12 12 TR Eisgruben Run05 FullRerun
91;EE-80;3;-118.805.871.447.304;0.05720539551872385;3;-849.015.067.824.429;0.2507419557516831;20191212;2019 12 12 TR Eisgruben Run05 FullRerun
